Balance,Bonus_miles,Flight_miles_12months,Flight_trans_12_months,Days_since_enroll
28143,174,0,0,7000
19244,215,0,0,6968
41354,4123,0,0,7034
14776,500,0,0,6952
97752,43300,2077,4,6935
16420,0,0,0,6942
84914,27482,0,0,6994
20856,5250,250,1,6938
443003,1753,3850,12,6948
104860,28426,1150,3,6931
40091,7278,0,0,6959
96522,61105,0,0,6924
43382,11150,0,0,6924
43097,3258,0,0,6918
17648,0,0,0,6912
28495,49442,0,0,6912
51890,48963,0,0,6910
13958,4291,0,0,6905
91473,27408,0,0,6903
23354,10447,0,0,6896
120576,58831,250,2,6896
185681,13300,1800,9,6896
20584,3450,3450,11,6884
66275,2533,150,1,6884
205651,4025,700,4,7932
20726,1375,0,0,7924
18521,1227,1227,2,7917
8828,0,0,0,7914
59763,33772,100,1,7907
19221,4655,500,1,7896
177926,20797,0,0,7886
10021,0,0,0,7879
276571,42044,0,0,7872
18047,100,0,0,7868
43832,0,0,0,7865
123759,50572,2500,5,7865
23193,650,550,3,7861
68666,350,350,2,7861
59990,27878,0,0,7854
2176,0,0,0,7847
34616,1750,500,1,7850
10470,38094,0,0,7840
60313,10000,3250,9,7829
619393,15008,0,0,7819
121260,18493,0,0,7808
288865,23600,2000,4,6884
92336,11214,0,0,6884
36924,5900,300,2,6879
70312,34678,500,1,6875
17051,1150,1150,4,6868
108137,6368,6368,5,6844
1300,370,0,0,6868
118531,44577,0,0,6868
121395,4970,650,2,6889
38348,0,0,0,6861
14448,1625,0,0,6856
75971,34339,0,0,6869
36298,3100,600,3,6865
38077,34024,0,0,6837
95118,23188,2200,7,6865
134457,15588,0,0,6861
19918,17601,0,0,6863
10120,0,0,0,6864
362642,28079,0,0,6835
80250,895,0,0,6833
53914,33767,5550,29,6826
9375,1750,0,0,6826
83237,35287,0,0,6837
230715,24047,0,0,6826
47457,12621,0,0,7766
84409,15436,1150,4,7766
252386,39787,0,0,7787
550367,12500,50,1,7801
12646,631,631,4,7787
123867,25308,0,0,7759
129871,15776,0,0,7752
109380,7537,0,0,7749
111157,32883,0,0,7771
49238,38037,0,0,7801
38896,76988,556,1,7771
4340,32685,0,0,7733
88443,1200,1200,3,6837
8454,498,0,0,6821
61990,1625,0,0,6833
24093,1750,0,0,6819
35418,58557,900,3,6813
40284,7719,0,0,6827
609477,21422,1200,8,6820
62553,7672,700,1,6819
48433,3500,500,1,6807
20508,22250,1250,5,6794
2000,2000,2000,4,6809
78629,36679,0,0,6817
143566,5000,1500,3,6785
185549,110859,2950,16,6778
16796,2875,0,0,6773
57346,5560,0,0,6766
102062,44247,0,0,6758
22324,1375,0,0,6753
64824,20184,0,0,6770
25076,57203,0,0,6750
8053,0,0,0,6750
35119,0,0,0,6749
28667,3861,2050,5,6749
34327,0,0,0,6745
3734,61096,150,2,6760
96627,49059,2300,9,6738
43498,0,0,0,6759
84674,46335,50,1,6738
15098,32917,550,3,6737
181019,18415,0,0,7714
298911,8550,2550,8,7714
124198,66330,4833,10,7710
56906,2015,0,0,7707
295638,5422,818,2,7700
67018,23260,0,0,7698
143967,7346,0,0,7689
969559,2500,1000,2,7718
122705,24222,0,0,7682
16583,2625,0,0,7682
77540,1000,0,0,7683
205126,126630,2250,10,7668
81974,37266,1050,3,7661
47258,24768,0,0,7659
77699,42775,0,0,7654
133954,37670,1500,3,7654
602064,194753,2250,10,7652
213150,56308,5200,14,7645
48333,10123,0,0,6737
142175,37461,0,0,6732
17469,0,0,0,6730
19823,1095,335,1,6730
145074,8000,0,0,6746
101101,10850,1850,6,6725
125948,15155,0,0,6761
259484,19172,7172,23,6723
129298,29099,0,0,6722
103302,53552,700,3,6718
160447,8578,0,0,6716
15472,3500,0,0,6715
39628,0,0,0,6711
6112,0,0,0,6709
31769,450,450,2,6707
126787,35021,0,0,6701
41547,16857,0,0,6697
100640,7600,1600,5,6708
18707,100,0,0,6693
50593,58208,1500,2,6689
84631,20415,0,0,6736
24868,205,0,0,6689
77097,42403,1718,4,6683
